"flpr","education0","education1","education2","education3","education4","education5","education6","education7","single","married","widowed","divorced","ss_gdp"
29.1,0,0,0,0,0,1,0,0,0,0,1,0,18.262
71.8,0,0,0,0,0,1,0,0,0,0,0,1,18.262
83.7,0,0,0,0,0,0,1,0,1,0,0,0,18.262
71.9,0,0,0,0,0,0,1,0,0,1,0,0,18.262
30.9,0,0,0,0,0,0,1,0,0,0,1,0,18.262
73.9,0,0,0,0,0,0,1,0,0,0,0,1,18.262
85.4,0,0,0,0,0,0,0,1,1,0,0,0,18.262
80.7,0,0,0,0,0,0,0,1,0,1,0,0,18.262
33.9,0,0,0,0,0,0,0,1,0,0,1,0,18.262
75.8,0,0,0,0,0,0,0,1,0,0,0,1,18.262
30.3,1,0,0,0,0,0,0,0,1,0,0,0,18.235
28.2,1,0,0,0,0,0,0,0,0,1,0,0,18.235
4.9,1,0,0,0,0,0,0,0,0,0,1,0,18.235
39.7,1,0,0,0,0,0,0,0,0,0,0,1,18.235
42,0,1,0,0,0,0,0,0,1,0,0,0,18.235
34.8,0,1,0,0,0,0,0,0,0,1,0,0,18.235
8.5,0,1,0,0,0,0,0,0,0,0,1,0,18.235
42.8,0,1,0,0,0,0,0,0,0,0,0,1,18.235
27.7,0,0,1,0,0,0,0,0,1,0,0,0,18.235
36.4,0,0,1,0,0,0,0,0,0,1,0,0,18.235
8.1,0,0,1,0,0,0,0,0,0,0,1,0,18.235
34.6,0,0,1,0,0,0,0,0,0,0,0,1,18.235
57.7,0,0,0,1,0,0,0,0,1,0,0,0,18.235
49.5,0,0,0,1,0,0,0,0,0,1,0,0,18.235
16.9,0,0,0,1,0,0,0,0,0,0,1,0,18.235
56.5,0,0,0,1,0,0,0,0,0,0,0,1,18.235
78.9,0,0,0,0,1,0,0,0,1,0,0,0,18.235
65,0,0,0,0,1,0,0,0,0,1,0,0,18.235
28.9,0,0,0,0,1,0,0,0,0,0,1,0,18.235
68.6,0,0,0,0,1,0,0,0,0,0,0,1,18.235
84.4,0,0,0,0,0,1,0,0,1,0,0,0,18.235
66.2,0,0,0,0,0,1,0,0,0,1,0,0,18.235
29.1,0,0,0,0,0,1,0,0,0,0,1,0,18.235
72.8,0,0,0,0,0,1,0,0,0,0,0,1,18.235
82.3,0,0,0,0,0,0,1,0,1,0,0,0,18.235
71.3,0,0,0,0,0,0,1,0,0,1,0,0,18.235
29.2,0,0,0,0,0,0,1,0,0,0,1,0,18.235
72.9,0,0,0,0,0,0,1,0,0,0,0,1,18.235
86.9,0,0,0,0,0,0,0,1,1,0,0,0,18.235
81.2,0,0,0,0,0,0,0,1,0,1,0,0,18.235
42.9,0,0,0,0,0,0,0,1,0,0,1,0,18.235
77.8,0,0,0,0,0,0,0,1,0,0,0,1,18.235
26.1,1,0,0,0,0,0,0,0,1,0,0,0,18.474
31.5,1,0,0,0,0,0,0,0,0,1,0,0,18.474
10,1,0,0,0,0,0,0,0,0,0,1,0,18.474
46.1,1,0,0,0,0,0,0,0,0,0,0,1,18.474
42.9,0,1,0,0,0,0,0,0,1,0,0,0,18.474
35.9,0,1,0,0,0,0,0,0,0,1,0,0,18.474
9.3,0,1,0,0,0,0,0,0,0,0,1,0,18.474
43.6,0,1,0,0,0,0,0,0,0,0,0,1,18.474
29,0,0,1,0,0,0,0,0,1,0,0,0,18.474
34.4,0,0,1,0,0,0,0,0,0,1,0,0,18.474
8,0,0,1,0,0,0,0,0,0,0,1,0,18.474
33.2,0,0,1,0,0,0,0,0,0,0,0,1,18.474
57.7,0,0,0,1,0,0,0,0,1,0,0,0,18.474
50,0,0,0,1,0,0,0,0,0,1,0,0,18.474
17.1,0,0,0,1,0,0,0,0,0,0,1,0,18.474
57.3,0,0,0,1,0,0,0,0,0,0,0,1,18.474
78.3,0,0,0,0,1,0,0,0,1,0,0,0,18.474
64.5,0,0,0,0,1,0,0,0,0,1,0,0,18.474
28.9,0,0,0,0,1,0,0,0,0,0,1,0,18.474
69.1,0,0,0,0,1,0,0,0,0,0,0,1,18.474
84.1,0,0,0,0,0,1,0,0,1,0,0,0,18.474
66.2,0,0,0,0,0,1,0,0,0,1,0,0,18.474
28.1,0,0,0,0,0,1,0,0,0,0,1,0,18.474
73.1,0,0,0,0,0,1,0,0,0,0,0,1,18.474
82.7,0,0,0,0,0,0,1,0,1,0,0,0,18.474
71.8,0,0,0,0,0,0,1,0,0,1,0,0,18.474
31.7,0,0,0,0,0,0,1,0,0,0,1,0,18.474
72.8,0,0,0,0,0,0,1,0,0,0,0,1,18.474
87,0,0,0,0,0,0,0,1,1,0,0,0,18.474
82,0,0,0,0,0,0,0,1,0,1,0,0,18.474
44.4,0,0,0,0,0,0,0,1,0,0,1,0,18.474
76.4,0,0,0,0,0,0,0,1,0,0,0,1,18.474
19.8,1,0,0,0,0,0,0,0,1,0,0,0,18.658
28,1,0,0,0,0,0,0,0,0,1,0,0,18.658
6.7,1,0,0,0,0,0,0,0,0,0,1,0,18.658
36.7,1,0,0,0,0,0,0,0,0,0,0,1,18.658
41.6,0,1,0,0,0,0,0,0,1,0,0,0,18.658
33.8,0,1,0,0,0,0,0,0,0,1,0,0,18.658
9.1,0,1,0,0,0,0,0,0,0,0,1,0,18.658
38.4,0,1,0,0,0,0,0,0,0,0,0,1,18.658
27.7,0,0,1,0,0,0,0,0,1,0,0,0,18.658
33.7,0,0,1,0,0,0,0,0,0,1,0,0,18.658
8,0,0,1,0,0,0,0,0,0,0,1,0,18.658
39.8,0,0,1,0,0,0,0,0,0,0,0,1,18.658
57.1,0,0,0,1,0,0,0,0,1,0,0,0,18.658
50,0,0,0,1,0,0,0,0,0,1,0,0,18.658
17.4,0,0,0,1,0,0,0,0,0,0,1,0,18.658
58.4,0,0,0,1,0,0,0,0,0,0,0,1,18.658
79.2,0,0,0,0,1,0,0,0,1,0,0,0,18.658
65.4,0,0,0,0,1,0,0,0,0,1,0,0,18.658
29.1,0,0,0,0,1,0,0,0,0,0,1,0,18.658
69.5,0,0,0,0,1,0,0,0,0,0,0,1,18.658
83.4,0,0,0,0,0,1,0,0,1,0,0,0,18.658
66.1,0,0,0,0,0,1,0,0,0,1,0,0,18.658
28,0,0,0,0,0,1,0,0,0,0,1,0,18.658
75.2,0,0,0,0,0,1,0,0,0,0,0,1,18.658
82.7,0,0,0,0,0,0,1,0,1,0,0,0,18.658
71.2,0,0,0,0,0,0,1,0,0,1,0,0,18.658
32.9,0,0,0,0,0,0,1,0,0,0,1,0,18.658
74,0,0,0,0,0,0,1,0,0,0,0,1,18.658
86.8,0,0,0,0,0,0,0,1,1,0,0,0,18.658
80.4,0,0,0,0,0,0,0,1,0,1,0,0,18.658
39.9,0,0,0,0,0,0,0,1,0,0,1,0,18.658
75.3,0,0,0,0,0,0,0,1,0,0,0,1,18.658
27,1,0,0,0,0,0,0,0,1,0,0,0,18.537
27.5,1,0,0,0,0,0,0,0,0,1,0,0,18.537
10.8,1,0,0,0,0,0,0,0,0,0,1,0,18.537
26.6,1,0,0,0,0,0,0,0,0,0,0,1,18.537
40.2,0,1,0,0,0,0,0,0,1,0,0,0,18.537
34,0,1,0,0,0,0,0,0,0,1,0,0,18.537
8.9,0,1,0,0,0,0,0,0,0,0,1,0,18.537
43.4,0,1,0,0,0,0,0,0,0,0,0,1,18.537
26,0,0,1,0,0,0,0,0,1,0,0,0,18.537
33.4,0,0,1,0,0,0,0,0,0,1,0,0,18.537
7.6,0,0,1,0,0,0,0,0,0,0,1,0,18.537
